pH,temperature,sulfate,id,log,normalise,elevate
6.65,44.6,6.4,415,0.806179974,0,255
7.12,34.5,6.4,416,0.806179974,0,255
7.49,63.3,9,433,0.954242509,0.051340589,242
8.58,89.7,11.4,478,1.056904851,0.086938691,233
8.57,44.3,13.7,439,1.136720567,0.114614739,226
7.95,44.2,14,437,1.146128036,0.117876772,225
8.4,39.9,14.7,480,1.167317335,0.125224148,223
6.04,59.6,16.5,665,1.217483944,0.142619388,219
6.82,30,17.6,552,1.245512668,0.15233833,216
8.51,47.2,18.9,440,1.276461804,0.163069923,213
8.66,44.1,19.1,443,1.281033367,0.16465511,213
8.36,42.2,19.5,481,1.290034611,0.167776285,212
8.62,46,21,444,1.322219295,0.178936304,209
8.59,39.8,21,484,1.322219295,0.178936304,209
8.56,42.8,22,485,1.342422681,0.185941815,208
8.25,53.2,24,442,1.380211242,0.199044974,204
8.32,43.8,24,483,1.380211242,0.199044974,204
8.4,67.9,25,482,1.397940009,0.205192413,203
8.11,33,29,562,1.462397998,0.227543179,197
8.33,60.3,30,486,1.477121255,0.232648459,196
7.51,83.5,32,355,1.505149978,0.242367401,193
8.37,70,32,441,1.505149978,0.242367401,193
7.97,72.2,32,489,1.505149978,0.242367401,193
8.14,97.6,33,360,1.51851394,0.247001346,192
8.42,31,33,379,1.51851394,0.247001346,192
8.69,31.7,33,487,1.51851394,0.247001346,192
7.97,86.5,33,488,1.51851394,0.247001346,192
6.48,78.5,33,650,1.51851394,0.247001346,192
8.13,96.6,34,356,1.531478917,0.251496944,191
8.59,85.4,34,357,1.531478917,0.251496944,191
8.04,93.8,34,358,1.531478917,0.251496944,191
8.46,74.8,34,359,1.531478917,0.251496944,191
7.93,100.6,34,361,1.531478917,0.251496944,191
8.06,84,34,362,1.531478917,0.251496944,191
8.42,32.9,34,378,1.531478917,0.251496944,191
8.44,23,34,451,1.531478917,0.251496944,191
9.62,80.6,34,643,1.531478917,0.251496944,191
8.48,28.6,37,452,1.568201724,0.264230553,188
7.23,95.8,37,438,1.568201724,0.264230553,188
7.24,93.8,37,479,1.568201724,0.264230553,188
7.23,78.2,37,664,1.568201724,0.264230553,188
8.47,22.1,39,312,1.591064607,0.272158243,186
8.17,93,40,418,1.602059991,0.275970886,185
7.17,47,40,434,1.602059991,0.275970886,185
8.3,25.5,40,310,1.602059991,0.275970886,185
7.5,96.5,40,490,1.602059991,0.275970886,185
7.42,99.8,40,577,1.602059991,0.275970886,185
8.44,55.5,41,373,1.612783857,0.279689379,184
8.48,55.8,41,374,1.612783857,0.279689379,184
8.45,34.9,41,375,1.612783857,0.279689379,184
8.44,34.7,41,376,1.612783857,0.279689379,184
8.48,52,42,377,1.62324929,0.283318262,183
8.37,37.2,42,380,1.62324929,0.283318262,183
8.47,75.6,44,448,1.643452676,0.290323773,181
8.51,40.5,44,456,1.643452676,0.290323773,181
8.54,95.2,44,458,1.643452676,0.290323773,181
8.27,96.7,45,424,1.653212514,0.29370799,180
8.47,89,46,449,1.662757832,0.297017823,179
8.5,65.5,47,457,1.672097858,0.300256471,178
8.33,61.4,48,423,1.681241237,0.303426932,178
8.27,62.9,48,425,1.681241237,0.303426932,178
8.5,30.1,48,311,1.681241237,0.303426932,178
8.43,54.6,48,445,1.681241237,0.303426932,178
8.47,56.2,48,446,1.681241237,0.303426932,178
7.26,93.9,48,579,1.681241237,0.303426932,178
8.25,34.1,49,417,1.69019608,0.306532018,177
8.41,42.6,50,419,1.698970004,0.309574371,176
8.46,35.3,50,420,1.698970004,0.309574371,176
8.46,38.8,50,421,1.698970004,0.309574371,176
8.42,40,50,422,1.698970004,0.309574371,176
8.48,57.2,50,447,1.698970004,0.309574371,176
